,DLVR_STORE_ADSTRD_CODE,DLVR_STORE_ID,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_NM,월 평균 배달 매출,월 평균 주문 건수,평균 주문 금액,평균 소요 시간,Label
0,11560660,S0021950,족발/보쌈,신길동,9326000,363,25700,980,2
1,41285520,S0039210,치킨,중산동,8581100,350,24500,1340,1
2,41150510,S0036135,치킨,의정부동,1435200,82,17600,930,0
3,41285590,S0039956,돈까스/일식,장항동,5713300,157,36300,1430,3
4,41150580,S0003074,치킨,금오동,13006200,538,24200,960,2
5,41210550,S0021813,아시안/양식,광명동,19309300,818,23600,1140,1
6,41190795,S0019514,족발/보쌈,괴안동,93300,3,35000,870,2
7,41190746,S0020310,카페/디저트,송내동,3370900,240,14100,1170,0
8,41190610,S0021038,치킨,중동,14178800,750,18900,1000,1
9,11530770,S0022458,패스트푸드,오류동,1758700,112,15700,940,0
10,41150568,S0031720,치킨,신곡동,407700,18,22200,1450,0
11,41271515,S0040852,치킨,이동,8261900,356,23200,1190,1
12,41190603,S0001089,분식,심곡동,210800,18,11500,790,3
13,41281621,S0002353,회,화정동,7428700,216,34400,750,1
14,41150595,S0022958,분식,가능동,342400,19,18000,1060,2
15,41190742,S0000618,카페/디저트,약대동,8249000,432,19100,1370,1
16,11530720,S0022440,패스트푸드,고척동,2352700,134,17500,1140,2
17,11545630,S0022364,치킨,독산동,64492500,2703,23900,850,1
18,11530720,S0000200,분식,고척동,1063600,54,19600,1040,2
19,41150568,S0026457,야식,신곡동,14032700,515,27200,1070,1
20,41190742,S0020957,야식,중동,1458100,62,23500,1240,3
21,41190603,S0020608,치킨,심곡동,1656200,67,24800,1180,0
22,41150567,S0031969,한식,신곡동,8845000,310,28500,1520,0
23,41271560,S0035329,분식,본오동,24051200,1390,17300,740,1
24,41390570,S0019759,족발/보쌈,목감동,13926500,364,38300,1300,1
25,11545700,S0020325,치킨,시흥동,307800,13,24300,1100,2
26,41390570,S0019726,치킨,산현동,146200,6,25100,1110,1
27,41150576,S0027848,족발/보쌈,민락동,382800,11,34800,1990,3
28,11530720,S0000267,회,고척동,3950200,109,36300,1000,2
29,41150520,S0039669,한식,의정부동,770600,22,35600,950,0
30,41113662,S0000639,카페/디저트,금곡동,4059700,215,18900,1000,2
31,11560700,S0021988,치킨,대림동,44122100,2396,18400,1040,1
32,11530750,S0000135,치킨,개봉동,10769400,486,22100,1300,2
33,41281622,S0002340,중식,화정동,5587000,258,21700,830,1
