DLVR_STORE_ADSTRD_CODE,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_NM,월 평균 배달 매출,월 평균 주문 건수,평균 주문 금액,평균 소요 시간,
11560660,족발/보쌈,신길동,9326000,363,25700,980,0       0
41285520,치킨,중산동,8581100,350,24500,1340,1       1
41150510,치킨,의정부동,1435200,82,17600,930,2       1
41285590,돈까스/일식,장항동,5713300,157,36300,1430,3       3
41150580,치킨,금오동,13006200,538,24200,960,4       2
41210550,아시안/양식,광명동,19309300,818,23600,1140,5       2
41190795,족발/보쌈,괴안동,93300,3,35000,870,6       0
41190746,카페/디저트,송내동,3370900,240,14100,1170,7       1
41190610,치킨,중동,14178800,750,18900,1000,8       2
11530770,패스트푸드,오류동,1758700,112,15700,940,9       0
41150568,치킨,신곡동,407700,18,22200,1450,10      1
41271515,치킨,이동,8261900,356,23200,1190,11      1
41190603,분식,심곡동,210800,18,11500,790,12      3
41281621,회,화정동,7428700,216,34400,750,13      1
41150595,분식,가능동,342400,19,18000,1060,14      0
41190742,카페/디저트,약대동,8249000,432,19100,1370,15      1
11530720,패스트푸드,고척동,2352700,134,17500,1140,16      0
11545630,치킨,독산동,64492500,2703,23900,850,17      2
11530720,분식,고척동,1063600,54,19600,1040,18      0
41150568,야식,신곡동,14032700,515,27200,1070,19      2
41190742,야식,중동,1458100,62,23500,1240,20      3
41190603,치킨,심곡동,1656200,67,24800,1180,21      1
41150567,한식,신곡동,8845000,310,28500,1520,22      1
41271560,분식,본오동,24051200,1390,17300,740,23      2
41390570,족발/보쌈,목감동,13926500,364,38300,1300,24      3
11545700,치킨,시흥동,307800,13,24300,1100,25      0
41390570,치킨,산현동,146200,6,25100,1110,26      1
41150576,족발/보쌈,민락동,382800,11,34800,1990,27      3
11530720,회,고척동,3950200,109,36300,1000,28      0
41150520,한식,의정부동,770600,22,35600,950,29      1
41113662,카페/디저트,금곡동,4059700,215,18900,1000,30      0
11560700,치킨,대림동,44122100,2396,18400,1040,31      2
11530750,치킨,개봉동,10769400,486,22100,1300,32      0
41281622,중식,화정동,5587000,258,21700,830,33      1
41210610,야식,철산동,653300,21,31400,1450,34      3
41150555,중식,호원동,15291000,742,20600,1010,35      2
41285540,중식,풍동,1129800,46,24300,1270,36      1
41190606,치킨,역곡동,8555000,446,19200,1010,37      2
41150510,분식,의정부동,16105200,771,20900,1060,38      2
41190795,한식,괴안동,305300,15,20100,950,39      0
41210610,돈까스/일식,철산동,4050300,118,34400,1310,40      3
41210570,족발/보쌈,광명동,8595400,230,37400,1520,41      0
41190746,치킨,송내동,7515600,307,24500,1250,42      1
11305534,치킨,미아동,459100,18,24800,1030,43      0
41210550,치킨,광명동,23192200,917,25300,1270,44      2
41360253,야식,진접읍,25337500,929,27300,1310,45      2
41190603,족발/보쌈,심곡동,97700,3,34500,1330,46      3
41281640,치킨,행신동,12468400,488,25600,1080,47      2
11560515,아시안/양식,영등포동,10373200,482,21500,1100,48      2
41190610,족발/보쌈,상동,8184500,250,32700,990,49      3
41150595,한식,의정부동,5679800,206,27500,1370,50      1
11530770,분식,오류동,10186600,530,19200,930,51      2
41150510,족발/보쌈,의정부동,29542800,1418,20800,1040,52      2
41281621,분식,화정동,37265700,1504,24800,1030,53      2
41150510,한식,의정부동,3952100,166,23800,1130,54      1
41390570,돈까스/일식,조남동,5115700,159,32200,680,55      3
41190830,패스트푸드,삼정동,7892000,444,17800,1190,56      2
11530740,치킨,개봉동,26141100,1131,23100,1070,57      2
11560650,한식,신길동,290800,7,40600,1210,58      0
41210650,치킨,일직동,529300,26,20000,1340,59      1
41150567,족발/보쌈,신곡동,21099800,561,37600,870,60      2
41281655,패스트푸드,행신동,8304400,521,15900,660,61      2
41150520,분식,의정부동,5179400,269,19300,1020,62      3
41390570,피자,조남동,13942800,521,26800,1130,63      2
11530740,치킨,개봉동,56834900,2275,25000,1260,64      2
41210650,치킨,소하동,12694200,563,22600,1190,65      2
41150580,족발/보쌈,금오동,1701800,42,40800,1740,66      0
41190795,치킨,괴안동,2118100,98,21700,1250,67      0
41360262,족발/보쌈,오남읍,18431000,520,35400,1470,68      2
11530540,피자,구로동,24626400,962,25600,910,69      2
41271510,한식,일동,4141200,176,23600,870,70      1
11545670,분식,시흥동,83215600,4186,19900,1280,71      2
41210600,치킨,철산동,1903200,87,21900,1590,72      1
41150595,피자,가능동,3691000,155,23900,1010,73      0
41210520,돈까스/일식,광명동,27541100,928,29700,1230,74      2
41287520,회,일산동,25233600,643,39200,1080,75      2
41150578,한식,민락동,538800,21,25500,1270,76      0
41210550,패스트푸드,광명동,5094300,265,19200,1100,77      0
41190603,카페/디저트,심곡동,42600,2,19700,990,78      1
41650510,패스트푸드,신읍동,11173000,491,22800,1210,79      1
41190603,분식,심곡동,434200,22,20000,1060,80      3
41190744,돈까스/일식,상동,5424600,200,27100,1430,81      3
41461320,치킨,남사면,399300,22,18200,1090,82      1
11530720,분식,고척동,4192600,199,21100,1200,83      0
41210631,치킨,하안동,8840700,380,23300,1210,84      1
41150568,족발/보쌈,신곡동,9732400,224,43500,1090,85      3
11530760,족발/보쌈,개봉동,52243200,1282,40700,1180,86      2
11380552,한식,갈현동,4923000,196,25100,1060,87      0
11380551,치킨,갈현동,15235100,707,21600,990,88      2
41190742,족발/보쌈,중동,311000,7,46600,1010,89      3
41190795,치킨,괴안동,4220500,207,20400,990,90      0
41210550,돈까스/일식,광명동,16419900,573,28700,1530,91      2
41190610,돈까스/일식,중동,3784800,138,27500,960,92      3
41150578,카페/디저트,낙양동,6348600,332,19100,610,93      0
11545620,족발/보쌈,독산동,48701800,1294,37600,1490,94      2
41150510,족발/보쌈,의정부동,7934700,448,17700,1150,95      2
41210520,치킨,광명동,1683400,78,21600,1430,96      0
41271515,치킨,이동,19638700,1014,19400,950,97      2
41650510,치킨,신읍동,1802600,74,24400,1370,98      1
41150578,치킨,민락동,23122400,1059,21800,1270,99      2
11320522,한식,도봉동,9128200,460,19800,1060,100     0
41271540,한식,본오동,1704100,100,17000,710,101     1
41281622,치킨,화정동,3373200,163,20700,1060,102
41271560,치킨,본오동,14195000,742,19100,800,
41210600,돈까스/일식,철산동,284000,9,32800,1210,
41630520,카페/디저트,광사동,3894400,201,19400,1060,
11320515,치킨,창동,9541300,398,23900,1310,
41630560,카페/디저트,옥정동,7705600,397,19400,1310,
41390570,치킨,조남동,8979500,400,22400,1340,
41271560,분식,본오동,2709800,138,19700,660,
41190750,치킨,소사본동,589400,29,20400,1230,
41150510,야식,의정부동,5440600,292,18600,1060,
11530740,족발/보쌈,개봉동,4610600,128,35900,1290,
41190742,분식,약대동,2894900,142,20400,1090,
41150510,카페/디저트,의정부동,5028300,258,19500,800,
41210550,한식,광명동,17071000,847,20100,1180,
41150595,치킨,가능동,4926900,192,25700,1180,
41150510,한식,의정부동,2363400,117,20300,1090,
41285560,치킨,마두동,3103400,128,24200,1090,
41190742,족발/보쌈,중동,105200,3,31600,1120,
41190603,야식,심곡동,38800,2,21100,1250,
41150510,중식,의정부동,229200,10,22200,1010,
41190610,아시안/양식,중동,10360400,432,24000,970,
41150520,회,의정부동,889800,19,46000,900,
41150568,한식,신곡동,1373600,66,20900,1830,
41190795,피자,옥길동,12253200,496,24700,970,
11530780,카페/디저트,천왕동,2028100,99,20500,1090,
11530740,패스트푸드,개봉동,51687600,3132,16500,1050,
11590650,피자,사당동,1967900,90,21800,1030,
41190750,분식,소사본동,607700,30,20400,1150,
41271540,분식,본오동,693900,35,19900,710,
41150510,치킨,의정부동,1856500,89,20900,1170,
41461320,피자,남사면,751000,27,27600,1800,
41271560,피자,본오동,21241600,873,24300,680,
41150620,치킨,녹양동,4698400,198,23800,1290,
41650510,치킨,신읍동,190700,9,22000,1130,
41271540,치킨,본오동,10511700,441,23800,770,
41150510,한식,의정부동,1779700,64,28000,1100,
41285590,분식,장항동,1059600,48,22200,1420,
41150567,패스트푸드,신곡동,9643200,512,18800,870,
41150568,피자,신곡동,6980900,289,24100,1360,
11590640,치킨,사당동,4556800,190,24000,1660,
41210580,족발/보쌈,광명동,24526500,711,34500,1510,
41285551,치킨,백석동,5510200,292,18800,1320,
11320670,찜탕,쌍문동,8897700,212,42000,1230,
11620595,카페/디저트,봉천동,14017200,784,17900,1160,
41360262,패스트푸드,오남읍,4214000,290,14600,930,
41190610,찜탕,중동,578800,22,26500,930,
41190610,족발/보쌈,상동,8966200,393,22800,1170,
11380552,족발/보쌈,갈현동,23165400,752,30800,940,
41281640,분식,행신동,6761500,357,18900,690,
11380551,치킨,갈현동,9893000,422,23400,1370,
41281510,한식,주교동,20900,1,25100,890,
41360253,찜탕,진접읍,28958400,1034,28000,1420,
11620575,카페/디저트,봉천동,6414300,351,18300,1200,
41271560,족발/보쌈,본오동,30012600,937,32000,660,
41390570,분식,목감동,3311500,160,20700,850,
11320515,피자,창동,54315400,2130,25500,1180,
41285530,치킨,정발산동,392600,21,18800,1180,
41190795,돈까스/일식,괴안동,22932500,1168,19600,890,
11380552,분식,갈현동,6661300,408,16300,920,
41390570,분식,조남동,1806500,97,18600,880,
41281622,야식,화정동,12140200,441,27500,1130,
11530750,패스트푸드,개봉동,57955700,3085,18800,1220,
11545670,야식,시흥동,12968200,673,19300,1220,
41150510,찜탕,의정부동,12443900,570,21900,830,
11530740,한식,개봉동,24908700,1102,22600,1140,
41271515,찜탕,이동,8531900,351,24300,620,
41281640,치킨,행신동,17882500,715,25000,1150,
41150510,한식,의정부동,25025800,1018,24600,1360,
41190603,피자,심곡동,145000,7,20200,1670,
11380551,돈까스/일식,갈현동,5629000,178,31700,1090,
41461320,회,남사면,2531200,71,35800,1580,
41150510,야식,의정부동,179800,8,24000,1240,
11530780,족발/보쌈,오류동,10734800,496,21600,1190,
41150576,족발/보쌈,민락동,2507800,69,36300,840,
41150510,야식,의정부동,56300,2,30700,2120,
41271525,찜탕,사동,5959600,283,21000,610,
41190742,한식,중동,2209800,135,16400,1030,
11530790,치킨,궁동,10187800,447,22800,1260,
11530720,분식,고척동,11915200,651,18300,1180,
41150580,돈까스/일식,금오동,12408300,380,32700,1420,
41190795,피자,괴안동,547600,22,24300,1310,
41271540,한식,본오동,7962000,395,20200,590,
41360253,야식,진접읍,8362100,360,23200,1520,
41287540,한식,탄현동,9521300,263,36200,890,
41150568,한식,신곡동,9119000,345,26400,1090,
41150520,카페/디저트,의정부동,15376600,812,18900,790,
41173576,치킨,평촌동,18601400,973,19100,800,
41281622,야식,화정동,2031200,56,35900,860,
11320514,피자,창동,18231000,665,27400,1120,
41190603,야식,심곡동,25400,1,25400,1270,
41150510,한식,의정부동,18567200,1021,18200,1100,
41210600,한식,철산동,1811500,76,23800,1300,
41190603,족발/보쌈,심곡동,235500,10,23900,770,
41150520,찜탕,의정부동,9630200,523,18400,920,
41150510,한식,의정부동,614800,28,21800,930,
11560660,아시안/양식,신길동,46936100,2117,22200,900,
41210610,족발/보쌈,철산동,509000,13,40200,1230,
41150595,족발/보쌈,가능동,7270200,198,36600,900,
41150595,분식,의정부동,5090200,272,18700,1270,
41190746,치킨,송내동,10096500,441,22900,1330,
41150520,치킨,의정부동,4596400,199,23100,930,
41281621,야식,화정동,7333900,255,28700,1170,
41210550,야식,광명동,904300,36,25500,1330,
41190603,치킨,심곡동,19100,1,19100,940,
11545630,중식,독산동,249200,10,23700,1040,
41150578,족발/보쌈,민락동,43129300,1161,37100,1020,
11590540,카페/디저트,상도동,4214100,217,19400,1180,
41650510,한식,신읍동,506200,21,24100,670,
11530560,중식,구로동,16766200,742,22600,1340,
41360262,야식,오남읍,5938700,261,22800,1100,
